apn_stripped,year,sold_date,certificate_number,tsi_tax_amount,tsi_tax_penalty,tsi_costs,tsi_fee,tsi_total_sold,extension_date,ssi_tax_amount,ssi_penalty,ssi_costs,ssi_back_tax_drainage,ssi_total,total_due,fips
1526427009,2022,10/31/2022,202201592,991.13,29.73,104.00,90.50,1124.86,05/01/2025,0.00,0.00,0.00,0.00,0.00,1215.36,11723
1527254009,2022,10/31/2022,202201632,1935.42,58.06,104.00,90.50,2097.48,05/01/2025,0.00,0.00,0.00,0.00,0.00,2187.98,11723
1527351030,2021,11/1/2021,202101533,3218.54,168.98,104.00,89.73,3491.52,05/01/2024,0.00,0.00,0.00,0.00,0.00,3581.25,11723
1527351035,2022,10/31/2022,202201649,2323.40,121.98,104.00,90.50,2549.38,05/01/2025,0.00,0.00,0.00,0.00,0.00,2639.88,11723
1527354016,2022,10/31/2022,202201651,1822.44,54.67,104.00,90.50,1981.11,05/01/2025,0.00,0.00,0.00,0.00,0.00,2071.61,11723
0227176003,2022,10/31/2022,202200092,11.68,0.62,104.00,90.22,116.3,10/31/2024,12.50,0.47,30.00,0.00,42.97,254.65,11723
0230460049,2022,10/31/2022,202200106,2643.62,138.79,104.00,90.22,2886.41,10/31/2024,0.00,0.00,0.00,0.00,0.00,2976.63,11723
0233161002,2022,10/31/2022,202200111,3723.50,142.56,104.00,90.22,4998.69,10/31/2024,0.00,0.00,0.00,0.00,0.00,5088.91,11723
0321229012,2022,10/31/2022,202200254,131.53,3.95,104.00,90.22,239.48,10/31/2024,133.92,2.01,30.00,0.00,165.93,515.54,11723
0321376001,2022,10/31/2022,202200256,3568.02,107.04,104.00,90.22,3779.06,10/31/2024,0.00,0.00,0.00,0.00,0.00,3869.28,11723
0327230006,2022,10/31/2022,202200316,265.52,7.97,104.00,90.22,377.49,10/31/2024,5494.50,206.05,30.00,0.00,5730.55,6885.93,11723
0329229029,2021,11/1/2021,202100286,974.70,51.17,104.00,89.73,1129.87,04/30/2024,2011.06,75.42,60.00,0.00,2146.48,3750.69,11723
0522200057,2021,11/1/2021,202100343,176.62,9.27,104.00,89.73,289.89,04/30/2024,379.44,14.22,60.00,0.00,453.66,914.45,11723
0603328023,2022,10/31/2022,202200407,2684.02,140.91,104.00,90.22,2928.93,10/31/2024,2856.54,107.12,30.00,0.00,2993.66,6372.05,11723
0610181053,2022,10/31/2022,202200432,702.01,21.06,104.00,90.22,827.07,10/31/2024,1495.78,56.09,30.00,0.00,1581.87,2688.98,11723
0610378138,2022,10/31/2022,202200441,2526.82,132.66,104.00,90.22,2763.48,10/31/2024,2626.84,98.51,30.00,0.00,2755.35,5939.69,11723
0612376012,2022,10/31/2022,202200477,4555.52,239.16,104.00,90.22,4898.68,10/31/2024,4735.74,177.59,30.00,0.00,4943.33,10525.43,11723
0613480003,2021,11/1/2021,202100510,3887.82,204.11,104.00,89.73,4195.93,04/30/2024,5589.26,169.01,60.00,0.00,5818.27,11025.38,11723
0626426015,2021,11/1/2021,202100653,8579.00,450.40,104.00,89.73,9133.4,04/30/2024,18131.30,679.92,60.00,0.00,18871.22,31459.95,11723
0630251006,2022,10/31/2022,202200685,3932.56,117.98,104.00,90.22,4154.54,10/31/2024,0.00,0.00,0.00,0.00,0.00,4244.76,11723
0708300004,2022,10/31/2022,202200727,0.00,1.05,104.00,90.22,125.05,10/31/2024,0.00,0.00,0.00,0.00,0.00,215.27,11723
0818152011,2022,10/31/2022,202200763,6799.88,357.00,104.00,90.22,7260.88,10/31/2024,7016.92,263.14,30.00,0.00,7310.06,15538.37,11723
0832301022,2022,10/31/2022,202200782,2149.47,64.48,104.00,90.22,2317.95,10/31/2024,2250.19,33.75,30.00,0.00,2313.94,4999.78,11723
